id,name,lat,lon,WIC,street,city,country,State,zip_code
1018261, Caledonia Farmers Market Association - Danville,-72.140337,44.411036,Y,,Danville,Caledonia,Vermont,05828
1009994,18th Street Farmer's Market,-103.662538,41.864268,N,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361
1000709,26th Annual Highlands Business Partnership's Farmers Market,-73.994358,40.404837,Y,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,07732
1019956,29 Palms Farmers' Market,-116.058946,34.13576,N,73484 Twentynine Palms Hwy,Twentynine Palms,San Bernardino,California,92277
1009959,2nd Street Market - Five Rivers MetroPark,-84.18103,39.762593,N,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402
1004950,3 French Hens French Country Market,-88.425186,41.356383,N,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450
1019938,3rd Day Farmer's Market,-85.296147,44.292952,Y,3234 S. LaChance Rd,Lake City,Missaukee,Michigan,49651
1021607,4 Veggies & 3 Fruits FarmerвЂ™s Market,-87.629595,41.781896,N,140 W 62nd Street,Chicago ,Cook,Illinois,60621
1018965,61st Street Farmers Market,-87.5905914,41.784079,N,6100 S. Blackstone Ave,Chicago,Cook,Illinois,60637
1009004,A Growers' Market,-84.279874,30.461953,Y,229 Lake Ella Drive,Tallahassee ,Leon,Florida,32303
1019473,Aberdeen Sunday Market,-123.816413,46.972973,Y,Broadway between Heron & State St,Aberdeen,Grays Harbor,Washington,98520
1010487,Abingdon Farmers Market,-81.97716,36.708863,N,Corner of Remsburg Drive & Cummings St,Abingdon ,Washington,Virginia,24212
1019695,Abita Springs Art & Farmers Market ,-90.038907,30.479064,N,22049 Main Street,Abita Springs ,St. Tammany,Louisiana,70420
1021442,Adams County Farmer's Market,-83.546357,38.795296,N,110 W. Main St. ,West Union,Adams,Ohio,45693
1019676,Adams County Farmers Market,-77.234147,39.830597,Y,103 Carlisle Street,Gettysburg,Adams,Pennsylvania,17325
1019351,Adams County Farmers' Market Association,-77.234147,39.830597,Y,103 Carlisle Street,Gettysburg,Adams,Pennsylvania,17325
1019847,Adams-Ricci Farmers Market,-76.937407,40.273997,Y,100 East Penn Drive,Enola,Cumberland,Pennsylvania,17025
1008961,Adaptations' Fresh Feast,-155.9236509,19.525784,N,"79-7500 Mamalahoa Highway, Unit 1",Kealakekua,Hawaii,Hawaii,96750
1019203,AG Farmers' Market,-74.207478,39.992509,Y,108 Indian Head Road,Toms River,Ocean,New Jersey,08753
1012233,Agricenter International Farmer's Market,-89.801733,35.127452,Y,7777 Walnut Grove Rd,Memphis,Shelby,Tennessee,38120
1005258,Aina Moana  Park (People's Open Market),-157.84493,21.287867,N,1201 Ala Moana Boulevard,Honolulu,Honolulu,Hawaii,96822
1008054,Airport Farmers and Flea Market,-82.441514,28.481294,N,17375 Spring Hill Dr,Brooksville,Hernando,Florida,34604
1008612,Alachua County Farmers' Market,-82.352515,29.7106652,Y,5920 NW 13th Street,Gainesville,Alachua,Florida,32653
1018304,Alamo Heights Farmers Market,-98.481174,29.493258,N,255 E Basse,San Antonio ,Bexar,Texas,78209
1004070,Alamosa Farmers Market,-105.865006,37.467321,N,Corner of 6th Street and State Avenue's Parking Lot,Alamosa,Alamosa,Colorado,81101
1021689,Albany Farmers' Market,-123.106097,44.635052,Y,4th & Ellsworth,Albany,Linn,Oregon,97321
1019371,Albany IN Farmers Market,-85.235831,40.299191,Y,208 E. State Street,Albany,Delaware,Indiana,47320
1021578,Albany Square Farmers Market,-94.333605,40.247729,N,,Albany,Gentry,Missouri,64402
